Number of genes	177385
Number of genes in orthogroups	152561
Number of unassigned genes	24824
Percentage of genes in orthogroups	86.0
Percentage of unassigned genes	14.0
Number of orthogroups	13316
Number of species-specific orthogroups	99
Number of genes in species-specific orthogroups	535
Percentage of genes in species-specific orthogroups	0.3
Mean orthogroup size	11.5
Median orthogroup size	10.0
G50 (assigned genes)	16
G50 (all genes)	15
O50 (assigned genes)	3283
O50 (all genes)	4060
Number of orthogroups with all species present	2763
Number of single-copy orthogroups	1964
Date	2018-08-28
Orthogroups file	Orthogroups.csv
Unassigned genes file	Orthogroups_UnassignedGenes.csv
Per-species statistics	Statistics_PerSpecies.csv
Overall statistics	Statistics_Overall.csv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.csv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	9279	69.7	64210	42.1
'1	3703	27.8	65189	42.7
'2	187	1.4	7117	4.7
'3	62	0.5	3383	2.2
'4	30	0.2	2132	1.4
'5	12	0.1	1079	0.7
'6	8	0.1	811	0.5
'7	10	0.1	1209	0.8
'8	2	0.0	267	0.2
'9	3	0.0	456	0.3
'10	1	0.0	161	0.1
11-15	7	0.1	1511	1.0
16-20	5	0.0	1486	1.0
21-50	7	0.1	3550	2.3
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	99
2	3002
3	1122
4	868
5	627
6	487
7	477
8	456
9	498
10	357
11	150
12	236
13	316
14	558
15	1300
16	2763
