Contig Num_Genes Num_Blastp_hits 1st_Frq_hit 2nd_Frq_hit 1st_Frq_count 2nd_Frq_count 1st_Frq_% 2nd_Frq_%
NODE_1000_length_27779_cov_37.567696 3 3 Phialocephala Sclerotinia 2 1 .66666666666666666666 .33333333333333333333
NODE_1001_length_27771_cov_29.788901 4 4 Phialocephala Sclerotinia 2 1 .50000000000000000000 .25000000000000000000
NODE_1005_length_27703_cov_34.677733 4 3 Marssonina Phialocephala 2 1 .50000000000000000000 .25000000000000000000
NODE_1009_length_27515_cov_30.205882 8 8 Phialocephala Marssonina 4 3 .50000000000000000000 .37500000000000000000
NODE_1011_length_27486_cov_34.472475 8 7 Phialocephala Pseudogymnoascus 5 1 .62500000000000000000 .12500000000000000000
NODE_1016_length_27265_cov_30.326140 3 3 Verticillium Talaromyces 1 1 .33333333333333333333 .33333333333333333333
NODE_101_length_148730_cov_29.730795 29 28 Phialocephala Marssonina 17 4 .58620689655172413793 .13793103448275862068
NODE_1023_length_27125_cov_30.548864 5 5 Phialocephala Zymoseptoria 3 1 .60000000000000000000 .20000000000000000000
NODE_1030_length_26970_cov_36.415205 4 4 Phialocephala Marssonina 1 1 .25000000000000000000 .25000000000000000000
NODE_10316_length_3914_cov_98.903760 1 1 Neurospora Neurospora 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1031_length_26952_cov_29.350695 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_1034_length_26922_cov_30.827011 4 4 Phialocephala Glarea 3 1 .75000000000000000000 .25000000000000000000
NODE_1036_length_26869_cov_29.643882 5 5 Phialocephala Marssonina 3 2 .60000000000000000000 .40000000000000000000
NODE_103_length_145775_cov_30.187555 28 27 Phialocephala Marssonina 13 5 .46428571428571428571 .17857142857142857142
NODE_10413_length_3881_cov_101.933952 1 1 Neurospora Neurospora 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1042_length_26664_cov_31.864535 3 2 Marssonina Marssonina 2 2 .66666666666666666666 .66666666666666666666
NODE_104_length_145493_cov_34.026090 15 14 Phialocephala Marssonina 7 2 .46666666666666666666 .13333333333333333333
NODE_1052_length_26456_cov_29.172367 4 4 Phialocephala Marssonina 2 2 .50000000000000000000 .50000000000000000000
NODE_105_length_143219_cov_33.147406 30 30 Phialocephala Marssonina 19 3 .63333333333333333333 .10000000000000000000
NODE_1067_length_26319_cov_31.785905 3 3 Phialocephala Phialocephala 3 3 1.00000000000000000000 1.00000000000000000000
NODE_10690_length_3788_cov_28.625510 1 1 Glarea Glarea 1 1 1.00000000000000000000 1.00000000000000000000
NODE_106_length_142629_cov_30.122427 40 39 Phialocephala Marssonina 19 8 .47500000000000000000 .20000000000000000000
NODE_10757_length_3766_cov_28.450889 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1075_length_26177_cov_29.610796 4 4 Thielavia Phialocephala 1 1 .25000000000000000000 .25000000000000000000
NODE_1079_length_26124_cov_29.374889 2 2 Phialocephala Cyphellophora 1 1 .50000000000000000000 .50000000000000000000
NODE_107_length_141435_cov_32.117192 23 23 Phialocephala Marssonina 12 3 .52173913043478260869 .13043478260869565217
NODE_1084_length_26063_cov_29.580533 5 5 Phialocephala Trichoderma 3 1 .60000000000000000000 .20000000000000000000
NODE_10885_length_3725_cov_80.994466 1 1 Nectria Nectria 1 1 1.00000000000000000000 1.00000000000000000000
NODE_108_length_141346_cov_29.135618 36 35 Phialocephala Marssonina 22 8 .61111111111111111111 .22222222222222222222
NODE_1097_length_25819_cov_29.166018 7 7 Phialocephala Sclerotinia 4 2 .57142857142857142857 .28571428571428571428
NODE_109_length_138668_cov_31.374849 31 31 Phialocephala Glarea 14 6 .45161290322580645161 .19354838709677419354
NODE_10_length_615394_cov_35.365817 134 134 Xylona Coniosporium 12 12 .08955223880597014925 .08955223880597014925
NODE_1103_length_25733_cov_32.001756 5 5 Phialocephala Marssonina 3 1 .60000000000000000000 .20000000000000000000
NODE_1104_length_25729_cov_32.706808 3 3 Rasamsonia Pseudogymnoascus 1 1 .33333333333333333333 .33333333333333333333
NODE_110_length_138510_cov_29.705598 43 43 Phialocephala Marssonina 18 13 .41860465116279069767 .30232558139534883720
NODE_1113_length_25541_cov_30.525521 6 6 Phialocephala Marssonina 3 2 .50000000000000000000 .33333333333333333333
NODE_1114_length_25515_cov_568.281845 4 4 Rhynchosporium Podospora 1 1 .25000000000000000000 .25000000000000000000
NODE_111_length_137771_cov_30.978352 35 35 Phialocephala Marssonina 16 9 .45714285714285714285 .25714285714285714285
NODE_1121_length_25389_cov_38.080544 2 2 Phialocephala Ajellomyces 1 1 .50000000000000000000 .50000000000000000000
NODE_1126_length_25245_cov_25.393252 6 6 Phialocephala Sclerotinia 3 1 .50000000000000000000 .16666666666666666666
NODE_112_length_134750_cov_37.971895 23 23 Xylona Glarea 3 2 .13043478260869565217 .08695652173913043478
NODE_1137_length_25048_cov_32.316638 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_113_length_133909_cov_31.170511 32 31 Phialocephala Marssonina 18 8 .56250000000000000000 .25000000000000000000
NODE_1140_length_25039_cov_30.070403 5 5 Phialocephala Purpureocillium 2 1 .40000000000000000000 .20000000000000000000
NODE_1141_length_25024_cov_34.158913 2 2 Xylona Aspergillus 1 1 .50000000000000000000 .50000000000000000000
NODE_1144_length_24988_cov_30.797001 6 6 Phialocephala Phialocephala 6 6 1.00000000000000000000 1.00000000000000000000
NODE_1146_length_24969_cov_28.453898 6 5 Phialocephala Marssonina 2 2 .33333333333333333333 .33333333333333333333
NODE_114_length_133149_cov_30.109134 33 33 Phialocephala Marssonina 22 6 .66666666666666666666 .18181818181818181818
NODE_11508_length_3548_cov_92.379401 1 1 Botryotinia Botryotinia 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1155_length_24799_cov_30.397035 7 7 Phialocephala Pseudogymnoascus 3 2 .42857142857142857142 .28571428571428571428
