contig	window_start	window_end	window_size	total_bases_mapped	read_depth
NODE_1000_length_27779_cov_37.567696	0	1000	1000	2696289	2696
NODE_1000_length_27779_cov_37.567696	1000	2000	1000	2744221	2744
NODE_1000_length_27779_cov_37.567696	2000	3000	1000	937744	938
NODE_1000_length_27779_cov_37.567696	3000	4000	1000	240286	240
NODE_1000_length_27779_cov_37.567696	4000	5000	1000	209656	210
NODE_1000_length_27779_cov_37.567696	5000	6000	1000	209786	210
NODE_1000_length_27779_cov_37.567696	6000	7000	1000	216020	216
NODE_1000_length_27779_cov_37.567696	7000	8000	1000	209632	210
NODE_1000_length_27779_cov_37.567696	8000	9000	1000	215277	215
NODE_1000_length_27779_cov_37.567696	9000	10000	1000	236913	237
NODE_1000_length_27779_cov_37.567696	10000	11000	1000	208425	208
NODE_1000_length_27779_cov_37.567696	11000	12000	1000	224512	225
NODE_1000_length_27779_cov_37.567696	12000	13000	1000	210306	210
NODE_1000_length_27779_cov_37.567696	13000	14000	1000	235658	236
NODE_1000_length_27779_cov_37.567696	14000	15000	1000	225231	225
NODE_1000_length_27779_cov_37.567696	15000	16000	1000	224860	225
NODE_1000_length_27779_cov_37.567696	16000	17000	1000	216548	217
NODE_1000_length_27779_cov_37.567696	17000	18000	1000	232151	232
NODE_1000_length_27779_cov_37.567696	18000	19000	1000	212723	213
NODE_1000_length_27779_cov_37.567696	19000	20000	1000	216462	216
NODE_1000_length_27779_cov_37.567696	20000	21000	1000	210528	211
NODE_1000_length_27779_cov_37.567696	21000	22000	1000	223172	223
NODE_1000_length_27779_cov_37.567696	22000	23000	1000	212115	212
NODE_1000_length_27779_cov_37.567696	23000	24000	1000	204658	205
NODE_1000_length_27779_cov_37.567696	24000	25000	1000	208137	208
NODE_1000_length_27779_cov_37.567696	25000	26000	1000	159604	160
NODE_1000_length_27779_cov_37.567696	26000	27000	1000	247426	247
NODE_1000_length_27779_cov_37.567696	27000	27779	779	145104	186
NODE_1001_length_27771_cov_29.788901	0	1000	1000	223796	224
NODE_1001_length_27771_cov_29.788901	1000	2000	1000	206566	207
NODE_1001_length_27771_cov_29.788901	2000	3000	1000	226440	226
NODE_1001_length_27771_cov_29.788901	3000	4000	1000	216587	217
NODE_1001_length_27771_cov_29.788901	4000	5000	1000	232993	233
NODE_1001_length_27771_cov_29.788901	5000	6000	1000	241112	241
NODE_1001_length_27771_cov_29.788901	6000	7000	1000	206410	206
NODE_1001_length_27771_cov_29.788901	7000	8000	1000	212266	212
NODE_1001_length_27771_cov_29.788901	8000	9000	1000	160263	160
NODE_1001_length_27771_cov_29.788901	9000	10000	1000	229640	230
NODE_1001_length_27771_cov_29.788901	10000	11000	1000	229010	229
NODE_1001_length_27771_cov_29.788901	11000	12000	1000	214166	214
NODE_1001_length_27771_cov_29.788901	12000	13000	1000	211003	211
NODE_1001_length_27771_cov_29.788901	13000	14000	1000	203045	203
NODE_1001_length_27771_cov_29.788901	14000	15000	1000	209404	209
NODE_1001_length_27771_cov_29.788901	15000	16000	1000	228390	228
NODE_1001_length_27771_cov_29.788901	16000	17000	1000	209873	210
NODE_1001_length_27771_cov_29.788901	17000	18000	1000	236209	236
NODE_1001_length_27771_cov_29.788901	18000	19000	1000	208135	208
NODE_1001_length_27771_cov_29.788901	19000	20000	1000	189039	189
NODE_1001_length_27771_cov_29.788901	20000	21000	1000	204294	204
NODE_1001_length_27771_cov_29.788901	21000	22000	1000	224445	224
NODE_1001_length_27771_cov_29.788901	22000	23000	1000	225433	225
NODE_1001_length_27771_cov_29.788901	23000	24000	1000	267449	267
