	GCA_002918395	GCF_000409485	GCF_001500285	GSE85906_GcC1	GSE85906_OnM2	bgh_dh14_v4	bgt_96224_GCA_000418435	botrytis_cinerea_b05_GCF_000143535	erysiphe_necator_GCA_000798715	marssonina_brunnea_fsp_MBm1_GCF_000298775	oidiodendron_maius_GCA_000827325	phialocephala_subalpina_GCA_900073065	pseudogymnoascus_destructans_20631_GCF_000184105	res	rhynchosporium_commune_GCA_900074885	sclerotinia_sclerotium_1980_GCF_000146945
OG0013316	POS81611.1_EPUL_005579_															
OG0013317	POS81613.1_EPUL_006667_															
OG0013318	POS81617.1_EPUL_006153_															
OG0013319	POS81627.1_EPUL_005948_															
OG0013320	POS81636.1_EPUL_006025_															
OG0013321	POS81637.1_EPUL_005976_															
OG0013322	POS81652.1_EPUL_006471_															
OG0013323	POS81654.1_EPUL_005557_															
OG0013324	POS81655.1_EPUL_006087_															
OG0013325	POS81657.1_EPUL_006332_															
OG0013326	POS81661.1_EPUL_006572_															
OG0013327	POS81674.1_EPUL_006777_															
OG0013328	POS81675.1_EPUL_006314_															
OG0013329	POS81678.1_EPUL_006654_															
OG0013330	POS81680.1_EPUL_006769_															
OG0013331	POS81681.1															
OG0013332	POS81684.1_EPUL_005964_															
OG0013333	POS81685.1_EPUL_006293_															
OG0013334	POS81686.1_EPUL_006042_															
OG0013335	POS81691.1_EPUL_005801_															
OG0013336	POS81698.1															
OG0013337	POS81700.1_EPUL_006421_															
OG0013338	POS81717.1_EPUL_005120															
OG0013339	POS81719.1_EPUL_006133															
OG0013340	POS81726.1_EPUL_006390_															
OG0013341	POS81736.1_EPUL_006482_															
OG0013342	POS81737.1_EPUL_005611_															
OG0013343	POS81741.1_EPUL_005071_															
OG0013344	POS81745.1_EPUL_005820_															
OG0013345	POS81748.1_EPUL_005875_															
OG0013346	POS81763.1_EPUL_006543_															
OG0013347	POS81771.1_EPUL_006171_															
OG0013348	POS81772.1_EPUL_006058_															
OG0013349	POS81775.1_EPUL_005634_															
OG0013350	POS81779.1_EPUL_005837_															
OG0013351	POS81792.1_EPUL_006102_															
OG0013352	POS81793.1															
OG0013353	POS81802.1_EPUL_006652_															
OG0013354	POS81804.1_EPUL_006434_															
OG0013355	POS81807.1_EPUL_006183_															
OG0013356	POS81809.1_EPUL_005642_															
OG0013357	POS81824.1															
OG0013358	POS81825.1_EPUL_005933_															
OG0013359	POS81827.1_EPUL_005366_															
OG0013360	POS81838.1															
OG0013361	POS81839.1_EPUL_004919															
OG0013362	POS81844.1_EPUL_005592_															
OG0013363	POS81848.1_EPUL_005639_															
OG0013364	POS81857.1_EPUL_006302_															
OG0013365	POS81858.1_EPUL_005495_															
OG0013366	POS81868.1_EPUL_005376_															
OG0013367	POS81911.1_EPUL_006061_															
OG0013368	POS81924.1_EPUL_005952															
OG0013369	POS81936.1_EPUL_005425															
OG0013370	POS81937.1_EPUL_005426_															
OG0013371	POS81940.1_EPUL_006465_															
OG0013372	POS81959.1_EPUL_006300															
OG0013373	POS81961.1_EPUL_005870_															
OG0013374	POS81981.1															
OG0013375	POS81985.1_EPUL_005809_															
OG0013376	POS82044.1_EPUL_006397_															
OG0013377	POS82061.1_EPUL_006163_															
OG0013378	POS82101.1															
OG0013379	POS82102.1_EPUL_004915_															
OG0013380	POS82159.1_EPUL_006666_															
OG0013381	POS82222.1_EPUL_006819_															
OG0013382	POS82354.1_EPUL_004571															
OG0013383	POS82378.1															
OG0013384	POS82383.1_EPUL_004400_															
OG0013385	POS82425.1_EPUL_005635_															
OG0013386	POS82432.1_EPUL_006122															
OG0013387	POS82436.1_EPUL_006103_															
OG0013388	POS82455.1_EPUL_006362_															
OG0013389	POS82743.1_EPUL_006092															
OG0013390	POS82865.1															
OG0013391	POS82866.1_EPUL_004584_															
OG0013392	POS82905.1_EPUL_005149															
OG0013393	POS83001.1_EPUL_005170															
OG0013394	POS83064.1_EPUL_004998															
OG0013395	POS83065.1_EPUL_004999															
OG0013396	POS83280.1_EPUL_004636_															
OG0013397	POS83344.1_EPUL_004879_															
OG0013398	POS83536.1_EPUL_005410_															
OG0013399	POS83666.1_EPUL_002720															
OG0013400	POS83726.1_EPUL_005146															
OG0013401	POS83784.1_EPUL_005050															
OG0013402	POS83940.1_EPUL_004760_															
OG0013403	POS84126.1_EPUL_005077_															
OG0013404	POS85044.1_EPUL_002360															
OG0013405	POS85416.1_EPUL_003068															
OG0013406	POS85609.1_EPUL_004143															
OG0013407	POS86123.1_EPUL_002952															
OG0013408	POS86133.1_EPUL_003973															
OG0013409	POS86622.1_EPUL_003795															
OG0013410	POS86944.1_EPUL_001360_															
OG0013411	POS87173.1_EPUL_001407															
OG0013412	POS87664.1_EPUL_002911_															
OG0013413	POS87818.1_EPUL_000683															
OG0013414		XP_008075809_GLLO														
OG0013415		XP_008075827_GLLO														
OG0013416		XP_008075831_GLLO														
OG0013417		XP_008075851_GLLO														
OG0013418		XP_008075864_GLLO														
OG0013419		XP_008075868_GLLO														
OG0013420		XP_008075870_GLLO														
OG0013421		XP_008075874_GLLO														
OG0013422		XP_008075877_GLLO														
OG0013423		XP_008075885_GLLO														
OG0013424		XP_008075888_GLLO														
OG0013425		XP_008075894_GLLO														
OG0013426		XP_008075895_GLLO														
OG0013427		XP_008075900_GLLO														
OG0013428		XP_008075911_GLLO														
OG0013429		XP_008075913_GLLO														
OG0013430		XP_008075922_GLLO														
OG0013431		XP_008075931_GLLO														
OG0013432		XP_008075946_GLLO														
OG0013433		XP_008075947_GLLO														
OG0013434		XP_008075950_GLLO														
OG0013435		XP_008075959_GLLO														
OG0013436		XP_008075981_GLLO														
OG0013437		XP_008075987_GLLO														
OG0013438		XP_008075990_GLLO														
OG0013439		XP_008075999_GLLO														
OG0013440		XP_008076000_GLLO														
OG0013441		XP_008076008_GLLO														
OG0013442		XP_008076031_GLLO														
OG0013443		XP_008076041_GLLO														
OG0013444		XP_008076061_GLLO														
OG0013445		XP_008076073_GLLO														
OG0013446		XP_008076074_GLLO														
OG0013447		XP_008076092_GLLO														
OG0013448		XP_008076105_GLLO														
OG0013449		XP_008076142_GLLO														
OG0013450		XP_008076147_GLLO														
OG0013451		XP_008076151_GLLO														
OG0013452		XP_008076152_GLLO														
OG0013453		XP_008076156_GLLO														
OG0013454		XP_008076161_GLLO														
OG0013455		XP_008076165_GLLO														
OG0013456		XP_008076181_GLLO														
OG0013457		XP_008076183_GLLO														
OG0013458		XP_008076184_GLLO														
OG0013459		XP_008076185_GLLO														
OG0013460		XP_008076186_GLLO														
OG0013461		XP_008076187_GLLO														
OG0013462		XP_008076188_GLLO														
OG0013463		XP_008076189_GLLO														
OG0013464		XP_008076190_GLLO														
OG0013465		XP_008076191_GLLO														
OG0013466		XP_008076199_GLLO														
OG0013467		XP_008076200_GLLO														
OG0013468		XP_008076201_GLLO														
OG0013469		XP_008076213_GLLO														
OG0013470		XP_008076218_GLLO														
OG0013471		XP_008076248_GLLO														
OG0013472		XP_008076260_GLLO														
OG0013473		XP_008076261_GLLO														
OG0013474		XP_008076268_GLLO														
OG0013475		XP_008076278_GLLO														
OG0013476		XP_008076279_GLLO														
OG0013477		XP_008076280_GLLO														
OG0013478		XP_008076293_GLLO														
OG0013479		XP_008076299_GLLO														
OG0013480		XP_008076301_GLLO														
OG0013481		XP_008076303_GLLO														
OG0013482		XP_008076307_GLLO														
OG0013483		XP_008076324_GLLO														
OG0013484		XP_008076328_GLLO														
OG0013485		XP_008076330_GLLO														
OG0013486		XP_008076340_GLLO														
OG0013487		XP_008076342_GLLO														
OG0013488		XP_008076344_GLLO														
OG0013489		XP_008076362_GLLO														
OG0013490		XP_008076383_GLLO														
OG0013491		XP_008076388_GLLO														
OG0013492		XP_008076403_GLLO														
OG0013493		XP_008076441_GLLO														
OG0013494		XP_008076442_GLLO														
OG0013495		XP_008076443_GLLO														
OG0013496		XP_008076444_GLLO														
OG0013497		XP_008076448_GLLO														
OG0013498		XP_008076454_GLLO														
OG0013499		XP_008076457_GLLO														
OG0013500		XP_008076458_GLLO														
OG0013501		XP_008076459_GLLO														
OG0013502		XP_008076467_GLLO														
OG0013503		XP_008076468_GLLO														
OG0013504		XP_008076470_GLLO														
OG0013505		XP_008076471_GLLO														
OG0013506		XP_008076472_GLLO														
OG0013507		XP_008076474_GLLO														
OG0013508		XP_008076476_GLLO														
OG0013509		XP_008076512_GLLO														
OG0013510		XP_008076518_GLLO														
OG0013511		XP_008076522_GLLO														
OG0013512		XP_008076530_GLLO														
OG0013513		XP_008076532_GLLO														
OG0013514		XP_008076534_GLLO														
OG0013515		XP_008076547_GLLO														
OG0013516		XP_008076549_GLLO														
OG0013517		XP_008076550_GLLO														
OG0013518		XP_008076551_GLLO														
OG0013519		XP_008076552_GLLO														
OG0013520		XP_008076584_GLLO														
OG0013521		XP_008076591_GLLO														
OG0013522		XP_008076597_GLLO														
OG0013523		XP_008076598_GLLO														
OG0013524		XP_008076601_GLLO														
OG0013525		XP_008076606_GLLO														
OG0013526		XP_008076608_GLLO														
OG0013527		XP_008076617_GLLO														
OG0013528		XP_008076619_GLLO														
OG0013529		XP_008076620_GLLO														
OG0013530		XP_008076621_GLLO														
OG0013531		XP_008076622_GLLO														
OG0013532		XP_008076630_GLLO														
OG0013533		XP_008076635_GLLO														
OG0013534		XP_008076641_GLLO														
OG0013535		XP_008076642_GLLO														
OG0013536		XP_008076643_GLLO														
OG0013537		XP_008076649_GLLO														
OG0013538		XP_008076651_GLLO														
OG0013539		XP_008076658_GLLO														
OG0013540		XP_008076676_GLLO														
OG0013541		XP_008076681_GLLO														
OG0013542		XP_008076699_GLLO														
OG0013543		XP_008076708_GLLO														
OG0013544		XP_008076714_GLLO														
OG0013545		XP_008076729_GLLO														
OG0013546		XP_008076733_GLLO														
OG0013547		XP_008076735_GLLO														
OG0013548		XP_008076736_GLLO														
OG0013549		XP_008076737_GLLO														
OG0013550		XP_008076738_GLLO														
OG0013551		XP_008076746_GLLO														
OG0013552		XP_008076754_GLLO														
OG0013553		XP_008076755_GLLO														
OG0013554		XP_008076760_GLLO														
OG0013555		XP_008076761_GLLO														
OG0013556		XP_008076764_GLLO														
OG0013557		XP_008076775_GLLO														
OG0013558		XP_008076776_GLLO														
OG0013559		XP_008076793_GLLO														
OG0013560		XP_008076804_GLLO														
OG0013561		XP_008076805_GLLO														
OG0013562		XP_008076813_GLLO														
OG0013563		XP_008076817_GLLO														
OG0013564		XP_008076835_GLLO														
OG0013565		XP_008076862_GLLO														
OG0013566		XP_008076923_GLLO														
OG0013567		XP_008076956_GLLO														
OG0013568		XP_008076957_GLLO														
OG0013569		XP_008076969_GLLO														
OG0013570		XP_008076979_GLLO														
OG0013571		XP_008076983_GLLO														
OG0013572		XP_008077014_GLLO														
OG0013573		XP_008077015_GLLO														
OG0013574		XP_008077021_GLLO														
OG0013575		XP_008077034_GLLO														
OG0013576		XP_008077035_GLLO														
OG0013577		XP_008077037_GLLO														
OG0013578		XP_008077052_GLLO														
OG0013579		XP_008077054_GLLO														
OG0013580		XP_008077066_GLLO														
OG0013581		XP_008077070_GLLO														
OG0013582		XP_008077071_GLLO														
OG0013583		XP_008077072_GLLO														
OG0013584		XP_008077091_GLLO														
OG0013585		XP_008077106_GLLO														
OG0013586		XP_008077107_GLLO														
OG0013587		XP_008077108_GLLO														
OG0013588		XP_008077161_GLLO														
OG0013589		XP_008077165_GLLO														
OG0013590		XP_008077174_GLLO														
OG0013591		XP_008077175_GLLO														
OG0013592		XP_008077176_GLLO														
OG0013593		XP_008077177_GLLO														
OG0013594		XP_008077178_GLLO														
OG0013595		XP_008077179_GLLO														
OG0013596		XP_008077180_GLLO														
OG0013597		XP_008077181_GLLO														
OG0013598		XP_008077182_GLLO														
OG0013599		XP_008077194_GLLO														
OG0013600		XP_008077211_GLLO														
OG0013601		XP_008077248_GLLO														
OG0013602		XP_008077249_GLLO														
OG0013603		XP_008077257_GLLO														
OG0013604		XP_008077258_GLLO														
OG0013605		XP_008077262_GLLO														
OG0013606		XP_008077263_GLLO														
OG0013607		XP_008077265_GLLO														
OG0013608		XP_008077271_GLLO														
OG0013609		XP_008077277_GLLO														
OG0013610		XP_008077278_GLLO														
OG0013611		XP_008077295_GLLO														
OG0013612		XP_008077300_GLLO														
OG0013613		XP_008077305_GLLO														
OG0013614		XP_008077310_GLLO														
OG0013615		XP_008077311_GLLO														
OG0013616		XP_008077313_GLLO														
OG0013617		XP_008077322_GLLO														
OG0013618		XP_008077344_GLLO														
OG0013619		XP_008077345_GLLO														
OG0013620		XP_008077356_GLLO														
OG0013621		XP_008077357_GLLO														
OG0013622		XP_008077358_GLLO														
OG0013623		XP_008077359_GLLO														
OG0013624		XP_008077365_GLLO														
OG0013625		XP_008077366_GLLO														
OG0013626		XP_008077374_GLLO														
OG0013627		XP_008077383_GLLO														
OG0013628		XP_008077384_GLLO														
OG0013629		XP_008077385_GLLO														
OG0013630		XP_008077397_GLLO														
OG0013631		XP_008077398_GLLO														
OG0013632		XP_008077421_GLLO														
OG0013633		XP_008077434_GLLO														
OG0013634		XP_008077454_GLLO														
OG0013635		XP_008077463_GLLO														
OG0013636		XP_008077479_GLLO														
OG0013637		XP_008077483_GLLO														
OG0013638		XP_008077484_GLLO														
OG0013639		XP_008077485_GLLO														
OG0013640		XP_008077487_GLLO														
OG0013641		XP_008077497_GLLO														
OG0013642		XP_008077506_GLLO														
OG0013643		XP_008077508_GLLO														
OG0013644		XP_008077520_GLLO														
OG0013645		XP_008077524_GLLO														
OG0013646		XP_008077535_GLLO														
OG0013647		XP_008077542_GLLO														
OG0013648		XP_008077543_GLLO														
OG0013649		XP_008077558_GLLO														
OG0013650		XP_008077573_GLLO														
OG0013651		XP_008077575_GLLO														
OG0013652		XP_008077576_GLLO														
OG0013653		XP_008077577_GLLO														
OG0013654		XP_008077578_GLLO														
OG0013655		XP_008077581_GLLO														
