OG0000054 PARAU_09721 YDR242W
OG0000109 PARAU_10427 YIR028W
OG0000123 PARAU_07789 YOL162W
OG0000146 PARAU_10408 YLL057C
OG0000219 PARAU_10948 YOL086C
OG0000301 PARAU_05055 YHL016C
OG0000434 PARAU_09883 YPL088W
OG0000467 PARAU_09937 YBR286W
OG0000478 PARAU_08208 YFL057C/56C
OG0000627 PARAU_08630 YJR124C
OG0000698 PARAU_08261 YIR023W
OG0000725 PARAU_04515 YKL001C
OG0000730 PARAU_08546 YHR176W
OG0000788 PARAU_10817 YLR299W
OG0000810 PARAU_04506 YKL221W
OG0001225 PARAU_03002 YOR278W
OG0001710 PARAU_09677 YPR127W
OG0001711 PARAU_12438 YER152C
OG0001725 PARAU_09406 YNL229C
OG0002468 PARAU_10445 YGL256W
OG0002732 PARAU_04266 YDL144C
OG0003751 PARAU_06183 YGR214W
OG0005411 PARAU_06464 YGR154C
OG0005574 PARAU_11579 YLR044C
OG0005802 PARAU_11982 YIR029W
OG0005813 PARAU_08253 YMR041C
OG0006149 PARAU_11166 YPL096W
OG0006198 PARAU_10799 YPR022C
OG0006230 PARAU_09824 YGL202W
OG0006333 PARAU_08897 YGL196W
OG0006366 PARAU_04430 YOL055C
OG0006437 PARAU_02998 YLR047C
OG0006440 PARAU_09649 YGL056C
OG0006445 PARAU_09935 YIR027C
OG0006515 PARAU_11100 YMR302C
OG0006526 PARAU_10659 YLR108C
OG0006534 PARAU_07721 YJL145W
OG0006553 PARAU_10735 YHR132C
OG0006562 PARAU_05166 YKR069W
OG0006563 PARAU_08811 YJR010W
OG0006564 PARAU_08821 YPR167C
OG0006567 PARAU_03540 YIL108W
OG0006641 PARAU_11222 YOR388C
OG0006664 PARAU_08088 YDR030C
OG0006666 PARAU_07621 YIL067C
OG0006670 PARAU_11401 YML086C
OG0006686 PARAU_06684 YBR227C
OG0006694 PARAU_12172 YJR104C
OG0006701 PARAU_09113 YBR276C
OG0006707 PARAU_09136 YGR144W
OG0006711 PARAU_07330 YDR465C
OG0006729 PARAU_10580 YBR213W
OG0006808 PARAU_10368 YIL053W
OG0006876 PARAU_11425 YIL023C
OG0006993 PARAU_10571 YLR278C
OG0007124 PARAU_05731 YIL162W
OG0007459 PARAU_09639 YLR237W
