	GCA_002918395	GCF_000409485	GCF_001500285	GSE85906_GcC1	GSE85906_OnM2	bgh_dh14_v4	bgt_96224_GCA_000418435	botrytis_cinerea_b05_GCF_000143535	erysiphe_necator_GCA_000798715	marssonina_brunnea_fsp_MBm1_GCF_000298775	oidiodendron_maius_GCA_000827325	phialocephala_subalpina_GCA_900073065	pseudogymnoascus_destructans_20631_GCF_000184105	res	rhynchosporium_commune_GCA_900074885	sclerotinia_sclerotium_1980_GCF_000146945
GCA_002918395	5170	4822	4866	4389	4468	4759	4656	4714	4774	4773	4710	4870	4590	4414	4861	4784
GCF_000409485	4822	8435	7886	4482	4493	5122	4979	7033	4640	6693	7169	7957	6049	5197	7337	6970
GCF_001500285	4866	7886	10442	4538	4561	5193	5033	7450	4687	7073	7881	9902	6231	5275	7885	7291
GSE85906_GcC1	4389	4482	4538	4827	4262	4507	4394	4395	4238	4455	4413	4533	4313	4106	4533	4462
GSE85906_OnM2	4468	4493	4561	4262	4861	4493	4389	4400	4313	4472	4421	4544	4311	4103	4537	4475
bgh_dh14_v4	4759	5122	5193	4507	4493	5640	5436	5005	4605	5086	5028	5176	4908	4592	5180	5083
bgt_96224_GCA_000418435	4656	4979	5033	4394	4389	5436	5486	4862	4506	4933	4878	5022	4769	4467	5021	4937
botrytis_cinerea_b05_GCF_000143535	4714	7033	7450	4395	4400	5005	4862	8644	4553	6465	6873	7478	5866	5095	6960	7990
erysiphe_necator_GCA_000798715	4774	4640	4687	4238	4313	4605	4506	4553	5023	4604	4539	4695	4431	4228	4687	4614
marssonina_brunnea_fsp_MBm1_GCF_000298775	4773	6693	7073	4455	4472	5086	4933	6465	4604	7439	6407	7089	5810	5130	7067	6495
oidiodendron_maius_GCA_000827325	4710	7169	7881	4413	4421	5028	4878	6873	4539	6407	8690	8074	6090	5096	7040	6759
phialocephala_subalpina_GCA_900073065	4870	7957	9902	4533	4544	5176	5022	7478	4695	7089	8074	10721	6251	5288	7960	7294
pseudogymnoascus_destructans_20631_GCF_000184105	4590	6049	6231	4313	4311	4908	4769	5866	4431	5810	6090	6251	6542	4872	6131	5920
res	4414	5197	5275	4106	4103	4592	4467	5095	4228	5130	5096	5288	4872	5384	5247	5180
rhynchosporium_commune_GCA_900074885	4861	7337	7885	4533	4537	5180	5021	6960	4687	7067	7040	7960	6131	5247	8440	6943
sclerotinia_sclerotium_1980_GCF_000146945	4784	6970	7291	4462	4475	5083	4937	7990	4614	6495	6759	7294	5920	5180	6943	8403
